56,55,55,55
55,56,55,57
55,60,55,59
54,63,55,63
36,58,36,61
36,60,36,56
37,55,36,59
36,62,37,62
37,63,37,53
38,51,37,51
37,62,38,49
38,48,36,54
37,49,38,47
36,52,37,48
47,41,43,41
38,42,39,42
48,42,44,41
37,44,40,42
49,42,41,41
53,43,37,43
48,41,52,43
54,43,41,42
46,41,42,41
56,43,55,42
55,41,55,40
49,42,56,43
49,41,52,42
51,41,50,41
53,41,56,41
58,55,57,55
52,56,59,55
60,55,61,55
61,54,54,56
63,54,56,56
57,56,65,54
61,56,59,56
62,56,63,56
65,55,64,55
60,37,63,36
62,36,59,38
73,39,63,36
59,37,63,35
73,41,64,35
60,36,64,34
74,40,65,33
63,34,66,33
66,32,68,27
76,40,69,27
71,45,65,32
70,28,71,44
67,31,71,43
68,30,72,43
72,28,73,42
70,29,69,29
74,41,76,41
88,25,83,18
79,16,80,16
87,23,90,27
79,15,89,26
82,17,87,22
85,19,84,19
77,15,86,22
83,18,80,16
90,29,90,28
83,18,89,28
85,20,81,16
75,13,76,14
87,24,78,14
83,17,86,23
79,15,85,21
77,13,80,15
74,11,79,14
73,11,73,12
76,12,72,12
71,12,70,12
74,11,64,19
64,18,69,12
68,12,72,11
78,12,71,11
67,12,77,12
77,11,70,11
76,11,66,13
69,11,75,11
68,11,67,11
59,18,59,17
65,18,64,18
58,19,59,19
58,18,59,20
64,18,65,15
59,17,59,17
68,28,59,17
68,28,58,18
72,29,64,17
68,28,59,16
71,28,66,16
65,17,65,11
60,16,59,16
60,15,64,18
63,18,62,18
63,17,67,17
62,17,61,17
60,17,57,18
55,18,56,18
56,17,53,17
55,17,54,17
52,11,53,11
51,11,50,11
42,12,43,12
44,11,36,21
37,24,52,12
41,12,53,12
37,27,46,11
37,26,36,22
53,13,53,14
39,13,39,12
48,11,37,23
53,15,54,15
38,13,50,12
36,13,51,12
52,12,49,12
53,18,54,14
50,12,53,16
54,15,54,15
61,35,64,32
67,30,66,30
59,36,63,33
57,37,56,37
65,31,57,36
70,25,69,25
69,26,61,34
70,26,62,34
68,28,59,35
66,17,68,29
67,18,66,18
68,11,71,29
78,13,72,11
82,19,82,18
80,15,78,13
81,16,83,19
84,20,83,20
70,30,85,22
86,23,84,20
85,21,87,24
75,42,90,35
90,33,90,36
90,34,89,38
90,39,76,42
90,37,72,39
89,43,89,44
91,38,90,41
90,42,89,45
89,47,90,43
75,43,75,44
91,41,90,45
90,46,90,44
90,47,91,42
89,52,88,52
89,48,91,44
90,49,90,52
90,55,90,54
90,57,90,56
74,54,90,58
90,61,90,59
74,56,90,62
74,58,89,68
85,70,90,63
90,65,88,69
90,66,80,73
88,70,77,70
87,70,78,70
80,72,84,72
83,74,79,72
89,69,79,71
81,74,82,74
84,74,85,72
87,71,86,72
84,73,78,73
74,77,73,77
74,58,68,64
73,58,70,61
67,65,73,59
72,59,69,61
65,68,65,67
66,67,68,63
74,59,64,70
64,69,67,65
75,58,72,60
64,70,76,58
65,69,67,65
66,67,69,62
70,61,67,66
68,63,78,57
65,68,77,56
69,62,70,61
74,59,65,68
66,65,68,63
70,62,65,66
60,70,66,65
65,65,64,67
63,70,61,71
61,72,64,66
66,64,62,69
57,75,62,70
62,69,61,70
57,76,63,67
57,77,56,73
56,74,62,68
59,73,56,75
58,73,56,76
58,72,59,71
58,89,62,89
56,89,57,89
52,88,51,88
59,89,55,89
55,74,50,87
53,88,54,88
46,87,45,87
52,89,49,88
47,88,48,88
50,89,49,89
44,88,45,88
43,88,42,88
55,73,56,72
55,72,55,71
55,69,56,69
56,68,56,70
37,60,56,66
34,62,33,62
35,61,34,62
36,50,34,61
46,42,38,41
49,43,45,42
48,43,37,41
36,47,47,42
43,42,36,45
36,44,39,41
36,42,44,42
55,56,52,57
63,55,60,54
73,45,63,35
64,35,73,43
72,46,73,46
71,45,74,39
67,31,72,44
73,42,87,23
85,20,83,18
84,19,88,25
82,17,65,17
69,27,78,13
67,15,67,15
64,18,61,18
55,19,59,17
53,19,51,19
46,12,47,12
39,13,42,13
42,11,49,11
36,21,38,12
40,11,41,11
38,23,39,11
37,22,30,13
30,12,31,12
31,11,34,22
30,23,37,11
29,21,34,12
38,11,36,11
30,22,31,21
35,11,32,22
32,12,31,22
32,11,33,11
23,21,28,22
30,11,29,11
27,11,28,11
26,11,25,11
25,22,24,22
23,11,22,11
20,12,19,12
20,11,11,17
11,16,12,21
12,20,19,11
16,12,11,13
13,23,15,12
14,12,17,11
11,14,16,11
15,11,12,12
13,11,14,11
11,15,15,10
12,19,14,10
11,20,11,13
23,27,11,21
12,23,12,31
23,28,11,22
24,28,13,31
11,24,9,30
10,30,11,30
24,29,11,31
24,30,11,28
11,32,11,29
12,36,11,33
12,37,11,35
11,36,12,39
12,40,11,38
11,39,11,41
11,43,10,50
11,45,11,50
11,47,11,51
12,51,11,49
12,53,12,54
11,52,12,55
12,56,11,54
11,57,13,65
18,65,14,65
10,65,11,58
11,65,21,64
17,65,21,65
20,65,12,65
11,63,19,65
17,66,16,66
15,66,14,66
10,61,17,65
21,64,17,65
19,66,18,66
19,73,19,68
20,74,21,74
34,53,35,57
33,53,34,57
37,63,34,56
36,62,34,55
34,54,35,56
37,63,37,62
35,54,35,55
35,62,35,53
35,50,35,51
35,48,37,42
36,41,35,47
35,45,35,44
35,40,35,43
34,28,29,28
25,29,38,29
37,29,30,28
27,29,22,30
31,28,28,29
39,30,35,29
29,28,36,29
35,28,36,28
37,28,39,22
45,40,46,40
48,40,47,40
51,17,51,16
63,19,60,19
61,35,62,33
64,31,70,27
69,12,71,27
72,28,79,15
79,14,82,19
78,13,84,21
77,12,80,15
83,21,81,16
82,17,83,18
90,24,89,27
90,25,90,26
88,34,88,33
90,30,89,24
91,26,89,32
91,27,91,28
90,38,76,44
76,45,92,50
88,52,75,40
74,45,88,68
85,71,77,70
82,73,84,72
81,73,89,69
74,77,71,77
70,61,74,58
78,56,77,57
69,62,67,64
65,67,75,59
73,60,66,65
62,71,64,68
61,72,73,78
63,69,72,79
75,76,74,78
72,79,61,70
59,73,77,75
73,84,72,79
73,83,71,84
71,85,70,85
71,85,72,79
72,85,70,86
74,83,75,83
69,87,73,85
68,88,72,86
61,88,64,88
62,88,69,88
66,89,63,88
60,87,59,87
68,89,61,88
58,87,70,87
75,82,70,88
66,88,74,82
62,87,71,87
69,89,64,89
58,88,60,88
50,87,55,76
51,90,52,90
62,73,61,73
59,74,61,74
47,89,46,89
45,89,44,89
35,87,35,82
35,86,36,78
36,90,36,79
41,89,35,89
40,89,39,89
36,80,35,85
35,80,37,89
35,84,36,79
35,79,35,88
55,69,54,66
54,68,55,75
54,70,58,88
57,88,61,88
48,87,65,87
67,87,66,87
67,87,73,84
72,75,72,76
74,80,71,87
73,76,75,81
72,77,75,80
69,87,76,82
75,80,75,79
75,84,76,83
76,77,80,74
60,71,58,75
67,66,79,73
69,64,70,64
71,63,70,64
59,73,58,76
65,67,56,77
68,65,59,73
68,66,58,73
61,89,53,88
40,88,41,88
37,88,35,79
37,88,35,88
26,79,36,80
28,80,29,80
30,80,27,80
31,81,32,81
24,79,33,81
20,70,19,74
20,71,30,81
27,81,29,81
26,81,28,81
13,74,13,73
21,66,22,66
11,78,11,79
18,74,21,71
12,83,11,75
17,89,17,74
16,74,13,87
16,88,12,82
11,76,15,74
11,82,12,86
14,74,18,73
12,84,13,88
11,80,11,77
14,75,13,75
15,75,11,76
13,87,12,74
17,74,11,76
20,89,13,87
17,89,22,89
23,89,12,87
16,89,12,88
15,89,11,86
12,78,13,78
11,87,11,85
12,89,13,89
14,89,20,88
21,88,22,88
24,87,14,89
26,87,25,87
26,85,26,84
26,82,14,89
11,88,21,88
26,78,25,87
14,89,24,89
25,89,16,87
16,87,15,87
14,87,17,87
25,88,26,86
25,88,25,86
17,75,16,75
19,67,19,72
33,82,34,82
20,69,34,81
20,64,20,67
21,64,19,69
12,54,12,52
12,50,12,62
13,49,12,64
12,49,13,49
12,59,21,66
35,53,35,57
34,48,34,60
34,47,34,63
35,59,34,45
33,63,34,44
34,61,34,59
35,51,34,58
34,40,34,41
34,39,33,39
33,38,33,39
34,39,33,40
34,52,34,53
35,41,36,48
32,28,36,40
24,29,39,30
22,30,34,29
40,40,39,40
37,40,41,39
40,39,33,41
47,39,42,40
48,39,50,39
52,39,51,39
49,40,50,40
51,40,53,40
52,16,55,18
56,19,57,19
59,16,45,11
54,18,60,18
52,15,45,12
59,16,52,15
53,11,54,18
54,12,53,11
43,13,60,21
52,11,36,21
31,10,38,24
32,21,30,21
27,12,28,12
25,12,11,14
12,10,12,22
15,12,13,12
13,22,12,18
11,13,11,13
23,26,9,30
18,65,9,65
21,64,17,65
21,64,11,63
36,61,12,65
35,60,36,62
33,52,35,60
35,60,35,62
35,63,34,53
34,50,36,61
12,54,12,44
13,60,13,59
12,58,12,47
13,61,12,48
13,43,13,44
13,58,12,47
9,31,12,35
12,34,12,33
25,28,12,30
24,27,24,26
24,24,25,31
25,27,24,20
25,26,25,24
12,17,25,23
25,21,12,16
25,13,12,15
10,12,23,13
13,11,19,12
22,25,23,24
24,12,23,12
32,13,31,21
23,23,22,23
28,23,27,23
38,21,35,12
31,23,32,23
34,23,33,23
53,14,53,18
37,24,37,29
36,25,36,26
36,27,37,30
45,41,38,19
50,40,36,30
39,39,36,27
36,39,54,39
55,38,54,38
36,38,37,38
57,38,55,39
58,35,58,36
60,33,54,39
56,40,58,37
60,35,61,35
71,30,63,34
60,17,64,17
78,13,75,12
80,15,83,19
78,13,79,14
89,26,84,20
90,27,87,24
86,22,90,29
87,24,84,19
87,24,90,26
87,23,85,20
89,30,90,26
87,23,85,20
86,21,89,29
90,26,86,21
88,35,89,34
90,26,89,35
89,35,89,37
71,25,73,40
70,27,77,42
72,40,76,45
90,41,74,41
74,40,76,43
91,39,90,44
88,50,88,49
89,49,88,49
89,48,90,30
90,44,89,34
88,47,90,30
90,30,91,39
91,35,85,22
92,26,91,25
89,23,91,32
88,22,86,21
84,19,87,21
78,11,79,11
69,13,68,13
65,19,65,15
65,12,65,11
65,17,64,16
69,10,65,16
68,10,67,10
65,17,71,28
59,15,64,17
71,27,72,28
56,41,66,31
51,39,55,39
37,42,36,29
39,27,38,27
33,30,34,30
39,25,31,30
33,29,38,28
30,29,29,29
27,28,23,29
23,29,26,28
22,29,39,30
39,31,23,29
38,29,32,29
34,42,38,29
33,44,37,28
37,28,36,39
44,39,43,39
54,39,46,39
55,38,57,38
58,35,53,39
44,40,55,40
47,41,57,37
64,17,60,17
71,30,74,12
79,13,81,17
84,21,80,15
76,12,81,16
81,16,85,23
86,22,83,18
69,25,69,30
69,31,72,41
71,41,71,25
65,34,54,40
58,39,57,39
58,56,54,55
53,57,53,55
54,59,55,57
56,58,54,63
55,64,54,64
57,72,55,66
55,89,50,89
59,88,56,88
55,88,58,88
41,87,41,87
35,81,39,88
38,88,35,78
35,78,36,78
36,80,35,88
35,61,34,61
37,58,37,57
37,58,37,59
38,59,34,60
34,53,19,64
35,61,35,54
35,41,36,57
34,28,30,28
38,29,26,29
40,40,25,29
57,19,38,41
52,16,54,18
59,18,57,19
65,18,60,18
67,30,66,20
60,33,70,27
61,32,62,32
63,31,62,31
71,29,65,29
75,11,77,12
78,13,84,22
82,18,85,23
80,15,83,20
75,11,80,15
70,12,83,21
82,20,81,19
80,17,81,17
79,14,79,14
80,15,80,15
69,28,71,29
80,15,90,25
86,21,90,24
74,38,76,43
88,52,75,39
90,46,74,44
77,70,85,71
89,69,82,73
71,60,74,77
74,58,78,56
63,70,65,69
66,66,64,69
65,68,74,59
72,60,76,56
68,63,76,56
76,56,70,61
75,56,70,61
78,74,77,57
77,57,73,59
80,71,75,57
84,75,85,74
76,56,72,58
76,54,77,54
76,54,71,60
75,56,73,58
91,57,90,53
91,56,89,63
89,62,89,47
89,61,88,63
89,44,91,53
88,44,89,58
91,52,89,56
91,53,90,50
91,49,91,47
92,31,91,46
89,25,90,34
92,26,84,22
86,21,85,21
84,19,80,11
65,15,68,13
65,10,65,11
65,16,65,12
71,28,67,28
72,29,71,29
71,29,66,29
82,17,68,28
91,31,87,23
90,32,71,40
70,41,67,32
70,41,77,43
68,29,73,40
76,43,76,43
66,33,65,33
69,29,64,35
67,31,62,37
61,38,62,37
62,36,73,29
56,43,64,33
59,56,55,43
54,55,42,42
56,54,54,58
57,54,58,54
53,89,49,89
42,87,61,87
43,87,60,87
72,84,72,76
75,80,71,76
66,90,67,90
70,89,68,90
72,87,76,81
73,86,75,80
78,72,75,76
65,67,59,73
65,66,71,62
71,62,72,62
72,61,76,76
66,65,79,71
80,70,73,61
73,60,80,70
86,70,86,69
87,69,84,73
82,75,82,76
89,67,89,60
88,69,88,57
89,58,80,73
83,73,90,67
89,70,91,67
90,69,91,65
91,64,89,60
91,63,89,50
91,60,91,61
90,49,91,59
90,47,92,31
88,23,89,24
85,20,90,25
68,13,79,11
65,11,65,19
65,10,65,16
65,17,64,15
71,28,67,28
66,29,72,29
82,17,71,29
87,23,84,19
87,24,81,16
84,19,86,22
82,17,86,22
74,13,84,19
85,21,80,16
77,14,83,18
85,22,81,16
76,12,79,15
70,13,71,13
81,16,84,20
77,11,78,11
65,20,65,16
68,13,65,11
65,11,69,11
65,16,64,15
67,28,71,28
59,15,72,28
61,17,65,31
49,12,48,12
38,29,36,22
37,13,36,13
42,11,36,22
35,13,50,13
35,13,49,13
31,12,53,13
30,13,47,13
38,12,44,11
30,13,33,21
29,22,32,10
27,21,26,21
12,9,12,22
11,13,13,25
23,26,12,19
9,30,18,65
22,64,21,64
15,66,16,66
21,64,17,65
36,62,12,65
35,62,35,60
34,51,34,50
35,60,21,67
21,70,20,68
21,71,21,72
22,74,13,66
14,67,12,65
13,52,12,56
13,54,13,53
14,49,12,49
10,50,10,50
12,42,9,31
25,29,14,29
12,27,25,31
9,12,22,12
13,11,22,13
22,25,26,21
31,9,31,21
38,22,53,14
53,19,50,12
54,15,62,18
61,34,66,18
78,13,71,26
81,17,80,15
84,20,80,15
79,14,82,18
85,23,78,13
81,18,82,18
68,13,65,12
71,12,77,12
65,12,70,28
59,19,65,30
64,31,71,27
62,33,65,31
55,19,59,17
54,19,51,19
60,17,49,12
37,25,40,12
37,27,38,13
48,13,49,13
30,13,32,21
23,22,11,18
15,10,12,22
10,30,23,26
18,65,9,65
22,64,21,64
21,64,16,65
12,65,17,65
19,68,36,60
20,73,20,71
20,76,21,76
31,80,20,75
24,81,19,71
20,76,19,70
13,73,12,73
11,74,28,87
26,81,27,87
19,88,12,83
13,87,13,87
11,88,12,89
13,76,12,77
12,89,14,74
16,73,17,73
11,75,21,75
22,75,10,75
10,75,12,81
10,75,12,74
27,82,12,76
19,75,25,85
23,89,26,79
26,78,28,78
25,82,29,78
28,81,34,78
25,82,33,82
33,80,33,83
55,75,34,87
56,78,55,78
55,77,54,65
55,77,54,78
54,62,56,65
56,63,56,64
36,61,56,61
35,62,38,57
35,62,38,55
36,60,34,60
19,67,38,60
19,63,21,72
21,63,19,63
20,63,24,81
32,79,31,79
29,79,30,79
29,86,28,86
11,82,27,88
14,87,12,87
12,89,12,89
12,89,17,88
11,75,12,80
10,75,21,75
12,81,10,75
19,75,10,75
19,75,26,82
26,79,26,78
28,81,33,81
25,82,28,81
34,88,33,80
32,87,33,87
46,88,44,88
47,88,43,89
34,83,34,85
52,88,51,87
53,87,40,89
70,86,69,90
74,79,72,76
67,90,70,88
75,82,71,87
75,80,76,81
78,72,75,77
59,73,65,67
65,66,76,76
71,62,68,64
80,70,66,65
72,61,79,71
80,70,70,62
80,70,86,70
80,72,84,73
82,76,83,76
90,62,89,66
87,72,89,55
88,55,89,58
91,65,89,54
90,53,76,53
89,50,89,48
84,21,91,57
87,22,88,23
80,11,85,20
68,13,65,15
65,10,65,17
71,28,67,28
59,15,58,17
72,28,71,27
65,30,71,27
65,31,56,41
56,38,47,38
48,38,36,29
39,26,39,25
39,28,23,30
27,28,22,30
11,30,12,26
13,23,13,42
13,39,13,40
25,26,11,35
18,11,9,12
22,12,26,13
31,21,25,21
53,14,51,10
53,16,53,19
36,25,37,29
39,20,36,27
45,40,43,41
36,39,35,39
34,38,49,39
53,38,52,38
42,40,33,39
34,40,42,41
26,30,31,30
12,45,11,53
13,43,12,46
18,65,22,65
13,64,14,64
12,49,13,51
13,48,14,48
21,64,12,64
17,65,17,65
15,66,36,61
37,63,35,60
37,63,36,62
35,62,34,52
33,41,37,42
34,28,26,29
39,30,22,30
25,29,39,30
11,35,24,21
12,26,13,23
13,40,13,42
13,27,13,26
16,66,13,41
10,65,12,65
21,64,10,63
35,60,17,65
19,69,18,72
21,76,21,74
29,80,23,80
23,80,30,80
37,80,36,79
38,61,36,81
35,87,37,81
32,79,27,80
41,89,34,79
49,87,36,87
46,88,49,87
36,84,32,78
47,88,43,89
43,89,35,83
33,79,36,83
36,85,32,79
35,82,36,85
25,79,28,82
20,69,30,81
21,69,19,76
12,75,23,66
21,71,11,80
14,72,21,73
13,88,13,75
12,85,13,87
11,76,12,83
17,89,12,74
17,74,13,87
17,89,25,88
26,85,12,84
24,89,17,89
11,88,18,88
24,89,12,89
12,90,18,88
12,90,12,80
21,75,11,75
10,75,10,75
26,79,12,81
12,79,10,75
19,75,26,79
26,79,28,78
28,81,33,82
25,82,27,80
33,83,37,60
35,61,33,61
39,60,38,59
39,61,34,52
30,28,35,41
38,29,34,28
38,29,22,30
39,30,24,21
11,30,11,35
13,42,12,39
11,35,25,26
14,11,10,12
26,13,22,12
31,21,25,21
53,18,53,14
51,12,53,16
48,40,52,40
45,40,56,39
45,40,56,39
42,39,51,41
57,38,59,35
53,40,58,37
58,38,62,34
64,17,60,17
74,12,69,11
82,18,80,15
81,16,78,13
83,19,79,14
82,17,84,20
88,24,88,26
76,42,71,26
78,42,71,40
72,41,69,29
68,30,67,31
71,40,76,42
91,35,71,40
89,44,89,48
72,54,73,54
73,55,72,53
73,54,88,57
91,48,74,53
91,68,88,68
80,72,84,71
89,69,88,70
74,77,71,60
68,63,74,57
78,56,69,62
73,59,64,70
64,70,68,63
69,62,67,65
75,56,75,56
77,57,72,59
90,56,91,59
89,65,88,43
89,43,89,44
89,68,89,44
92,67,79,72
89,69,77,70
78,73,88,70
71,60,68,63
64,69,78,56
63,70,78,56
68,63,79,57
64,70,65,68
75,56,70,61
74,56,76,57
81,71,71,60
72,59,71,60
75,56,81,72
90,56,89,65
90,49,88,62
89,45,89,45
89,58,89,47
90,56,88,30
92,26,89,25
84,22,85,21
90,25,86,21
73,12,84,19
68,13,65,20
65,17,65,11
65,12,65,16
67,28,59,15
72,28,58,17
61,35,55,41
51,39,55,39
39,26,37,42
40,25,23,30
23,29,33,29
23,30,34,30
12,26,11,35
13,41,24,25
13,21,23,21
13,19,23,22
22,11,24,21
17,11,26,12
13,12,29,13
28,13,14,13
33,14,32,12
32,11,19,11
32,21,31,10
38,22,52,12
51,10,53,17
59,19,63,33
68,27,65,31
55,37,53,38
70,25,59,35
69,27,66,31
67,30,66,17
72,12,66,17
66,11,64,11
80,18,81,18
79,15,76,12
81,16,90,23
88,34,76,43
92,50,75,40
88,52,74,44
77,70,85,71
89,69,86,71
78,73,83,74
74,57,68,63
64,69,67,65
68,63,74,59
65,67,67,64
73,77,69,62
75,76,71,78
61,72,72,78
62,69,62,69
70,86,74,83
68,88,63,88
61,88,59,87
71,87,58,87
55,76,64,88
62,73,35,83
36,91,35,88
56,73,55,68
54,77,56,72
54,61,36,60
35,63,34,62
38,55,55,58
54,71,53,71
54,53,55,57
53,70,53,68
56,57,56,60
46,41,50,41
54,42,42,42
39,43,40,43
53,42,38,43
58,54,61,37
73,40,73,39
66,56,66,55
69,55,70,55
68,55,67,55
71,55,62,55
65,55,76,54
68,56,77,54
69,56,67,56
66,55,55,53
57,57,56,56
61,39,56,56
59,40,60,40
58,41,57,41
38,44,36,49
36,59,38,46
37,62,37,62
37,62,37,53
55,57,37,52
47,41,54,62
38,44,42,41
53,43,52,43
42,41,55,41
55,40,55,41
73,44,52,57
73,46,73,46
